model,rating,lower_ci_95,upper_ci_95,std_err
gemini3pro,1282.89,1229.59,1336.20,27.20
gpt5,1217.78,1164.92,1270.64,26.97
gpt5.1,1213.87,1161.03,1266.72,26.96
gpt5.2,1210.14,1157.30,1262.99,26.96
gemini2.5pro,1179.53,1126.67,1232.39,26.97
grok4fastreasoning,1149.46,1096.45,1202.46,27.04
deepseekreasoner,1146.32,1093.29,1199.35,27.05
