model,total,successful,failed,score_at_1,avg_at_5,score_at_5,pass_at_1,pass_at_5,num_problems,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
deepseekreasoner,635,624,11,14.53,15.71,38.71,0.2177,0.6210,124,15.725,0.000,100.000,-67999970.869,-1000000000.000,653.650
gemini2.5pro,635,620,15,12.71,15.21,31.85,0.2080,0.5280,125,15.332,0.000,100.000,-116465825.332,-1000000000.000,653.650
gemini3pro,635,630,5,34.19,27.71,48.75,0.5354,0.7559,127,27.929,0.000,100.000,52.951,0.000,176.870
gpt5,635,626,9,21.03,24.15,46.44,0.3008,0.6829,123,23.912,0.000,100.000,-23999955.088,-1000000000.000,182.705
gpt5.1,635,627,8,19.33,22.12,42.65,0.3228,0.6378,127,22.401,0.000,100.000,-59999954.200,-1000000000.000,631.724
gpt5.2,635,630,5,20.01,20.82,40.33,0.2913,0.5591,127,20.983,0.000,100.000,-23904339.211,-1000000000.000,631.724
grok4fastreasoning,635,624,11,18.43,16.90,42.62,0.3175,0.5794,126,17.226,0.000,100.000,-66929105.855,-1000000000.000,212.114
reference_baseline,2,2,0,0.18,0.04,0.18,0.5000,0.5000,2,0.175,0.000,0.351,0.175,0.000,0.351
test_read_csv,1,0,1,,,,,,0,,,,,,
