model,rating,lower_ci_95,upper_ci_95,std_err
gemini3pro,1278.42,1225.12,1331.71,27.19
gpt5.2,1241.71,1188.71,1294.70,27.04
gpt5.1,1215.09,1162.19,1267.99,26.99
gpt5,1206.50,1153.62,1259.39,26.98
gemini2.5pro,1197.20,1144.32,1250.09,26.98
deepseekreasoner,1143.13,1090.03,1196.23,27.09
grok4fastreasoning,1117.95,1064.61,1171.29,27.21
