model,rating,lower_ci_95,upper_ci_95,std_err
gemini3pro,1252.72,1203.46,1301.98,25.13
gpt5,1216.79,1167.64,1265.95,25.08
gpt5.1,1208.43,1159.27,1257.59,25.08
gpt5.2,1199.06,1149.91,1248.22,25.08
gemini2.5pro,1181.26,1132.10,1230.42,25.08
deepseekreasoner,1171.36,1122.17,1220.54,25.10
grok4fastreasoning,1170.38,1121.19,1219.57,25.10
