model,rating,lower_ci_95,upper_ci_95,std_err
gemini3pro,1304.76,1256.38,1353.15,24.68
gpt5.2,1254.52,1206.38,1302.66,24.56
deepseekreasoner,1208.56,1160.53,1256.59,24.51
gpt5,1181.75,1133.72,1229.79,24.51
gemini2.5pro,1164.09,1116.03,1212.16,24.52
grok4fastreasoning,1150.08,1101.98,1198.19,24.54
gpt5.1,1136.23,1088.08,1184.38,24.57
