model,avg_best_of_5,avg_first_one_shot,avg_all,num_problems,num_attempts
gemini3pro,56.0939,33.1201,34.5781,173,865
gpt5.2,47.1940,32.3984,31.1092,172,853
deepseekreasoner,41.4444,24.8340,23.8180,173,865
gpt5,39.7246,23.0949,22.5801,173,864
grok4fastreasoning,36.8084,24.0425,22.9777,173,863
gemini2.5pro,36.6492,20.3439,19.3203,173,865
gpt5.1,34.7560,20.6394,21.4909,173,858
